Sl No,Stock,Market Cap,ROE Ann  %,Industry ROE,Industry ROCE,Industry ROA,Industry PBV TTM,Industry PEG TTM,Industry PE TTM,Industry Score,Industry Market Cap ,Sector Market Cap ,Sector Score,Sector PE TTM,Sector PEG TTM,Sector PBV TTM,Sector ROE,Sector ROCE,Sector ROA,ROCE Ann  %,ROCE Ann  3Y Avg %,ROCE Ann  5Y Avg %,ROCE Ann  1Y Ago %,LT Debt To Equity Ann ,LT Debt To Equity Ann  1Y Ago,Total Debt to Total Equity Ann ,Interest Ann ,Interest Ann  1Y Ago,Interest Ann  2Y Ago,Interest Ann  3Y Ago,Interest Ann  4Y Ago,Interest Ann  5Y Ago,Interest TTM,Interest Coverage Ratio Ann ,Interest Coverage Ratio Ann  1Y Ago,Interest Coverage Post Tax Ann  %,FC Est  1Q fwd Interest Expense Qtr,NSE Code,BSE Code,ISIN,Gross NPA ratio Qtr %,Gross NPA ratio 4Q Ago %,Gross NPA ratio 8Q Ago %,Gross NPA Ratio Qtr 1Q ago %,Gross NPA ratio % Qtr QoQ change,Rev  Gross From Operations Ann ,Rev  Net From Operations Ann ,Capital Adequacy Ratios Ann  %,Profit From Continuing Operations Ann ,Working Capital Turnover Ann ,Operating Rev  growth TTM %,ROE Ann  %,ROE Ann  1Y Ago %,ROE Ann  2Y Ago %,ROE Ann  3Y Ago %,ROE Ann  4Yr Ago %,ROE Ann  5Y Ago %,ROCE Ann  %,ROCE Ann  1Y Ago %,RoA Ann  %,RoA Ann  1Y Ago %,RoA Ann  2Y Ago %,RoA Ann  3Y Ago %,RoA Ann  4Yr Ago %,RoA Ann  5Y Ago %,EPS TTM Growth %,Interest Coverage Ratio Ann ,OPM Ann  %,NPM Ann  %,Net Profit Per Share Ann ,Interest Coverage Post Tax Ann  %,Cash Flow Return on Assets Ann ,Cash Flow Return on Assets Ann  1Y ago,Current Ratio Ann ,Book Value Inc Reval Reserve Ann ,Promoter holding latest %,Promoter holding change QoQ %,Promoter holding change 1Y %,Promoter holding change 2Y %,Promoter holding pledge percentage % Qtr,Promoter pledge change QoQ %,Basic EPS TTM 1Y Ago,Basic EPS TTM,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,Basic EPS Ann  5Y Ago,Basic EPS Ann  4Y Ago,Basic EPS Ann  3Y Ago,Basic EPS Ann  2Y Ago,Basic EPS Ann  1Y Ago,Basic EPS Ann ,EPS Ann ,Cash EPS Ann ,Cash EPS Ann  1Y Ago,Cash EPS 1Y Growth %,Cash EPS 3Y Growth %,Cash EPS 5Y Growth %,EPS TTM Growth %,EPS Qtr YoY Growth %,Basic EPS QoQ Growth %,Cash EPS Ann  3Y ago,Cash EPS Ann  5Y ago,FC Est  1Q fwd EPS Qtr,FC Est  1Q fwd Cash EPS Qtr,Price To Sales Ann ,Market Cap Per Sales Ann ,EV Per Net Sales Ann ,Graham Ratio,Price to Cashflow from Operations,Price to Sales TTM,Operating Profit 6Qtr Ago,Operating Profit 7Qtr Ago,Operating Profit Qtr,Operating Profit 1Q Ago,Operating Profit 2Q Ago,Operating Profit 3Q Ago,Operating Profit 4Q Ago,Operating Profit Ann  3Y Ago,Operating Profit Ann  4Y ago,Operating Profit Ann  5Y Ago,Operating Profit Ann ,Operating Profit Ann  1Y Ago,Operating Profit Ann  2Y ago,Operating Profit Margin Qtr %,OPM 1Q ago %,OPM Qtr 4Qtr ago %,Net Profit Qtr,Net Profit 1Q Ago,Net Profit 2Q Ago,Net Profit 3Q Ago,Net Profit 4Q Ago,Net Profit 5Q Ago,Net Profit 6Q Ago,Net Profit 7Q Ago,Net Profit 8Q Ago,Reported PAT Qtr,Net Profit Ann ,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Operating Profit Growth Qtr YoY %,Operating Profit TTM 1Y Ago,Operating Profit TTM,Profit Before Tax Qtr,PBT 1Q Ago,PBT 4Q Ago,PBT Ann ,PBT Ann  1Y Ago,Total Profit Loss Ann ,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,NPM 4Q ago %,NPM 1Q ago %,NPM Qtr %,NPM Ann  1Y ago %,NPM TTM %,Net Profit TTM 5Q Ago,Net Profit TTM 4Q Ago,Net Profit TTM 3Q Ago,OPM Qtr 4Qtr ago %,OPM 1Q ago %,Operating Profit Margin Qtr %,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,OPM TTM %,PEG TTM,EBITDA Qtr,EBITDA 1Q Ago,EBITDA 2Q Ago,EBITDA 3Q Ago,EBITDA 4Q Ago,EBITDA Ann  1Y Ago,EBITDA Ann ,EBITDA TTM,EBITDA Ann  margin %,EBITDA Qtr YoY Growth %,EBITDA Qtr growth YoY %,EBITDA Ann  Margin %,EBIT Ann  Margin %,EV Per EBITDA Ann ,FC Est  1Q forward EBIT Qtr,FC Est  1Q fwd EBITDA Qtr,Altman Zscore,Tobin Q Ratio,Piotroski Score,Graham No ,Valuation Score,Prev Month TL Valuation Score,Durability Score,Prev Month TL Durability Score,Prev Week TL Durability Score,Prev Week TL Valuation Score,Momentum Score,Norm  Momentum Score,Prev Week TL Momentum Score,Prev Month TL Momentum Score,SWOT Strengths,SWOT Weakness,SWOT Threats,SWOT Opportunities,TL Checklist Positive Score,TL Checklist Negative Score
1,Reliance Industries,1875736.03,8.25,8.91,9.36,3.69,2.07,0.98,20.6,52.64,2171717.81,2879583.9,53.05,18.09,0.92,1.9,9.52,10.09,4.15,8.7,9.15,8.44,9.38,0.28,0.28,0.41,24269,23118,19571,14584,21189,22027,26631,7.56,7.71,4.33,6914.65,RELIANCE,500325,INE002A01018,0,0,0,0,0,1071174,964693,,80787,21.58,9.01,8.25,8.77,9.31,7.78,7.01,8.76,8.7,9.38,3.57,3.96,4.14,4.04,3.71,3.37,20.26,7.56,,7.09,59.7,4.33,0.09,0.09,1.1,623.12,50.01,0,-0.12,-0.29,0,0,51.13,61.49,13.78,13.42,19.95,14.34,13.7,63.06,75.21,92,98.59,102.9,51.47,51.47,98.97,191.35,-48.28,-31.23,1.23,20.26,0.58,2.68,143.92,97.77,15.57,,1.79,1.79,2.21,1.46,10.5,1.83,38765,42516,46018,45885,42905,43832,43789,110460,80737,89009,165444,162233,142162,17.37,18.02,18.25,18645,18165,26994,19407,18540,16563,15138,18951,17265,22167,69648,69621,66702,60705,49128,39354,5.09,164128,178640,29697,29124,28643,106017,104340,,-0.87,16.84,17.69,7.73,7.13,7.04,7.59,8.12,67917,69192,69648,18.25,18.02,17.37,-0.87,,17.69,17.44,1.11,50932,50367,58024,48737,48003,178290,183422,208060,18.67,6.1,6.1,19.01,13.5,11.63,36871.42,49191.04,1.98,2.22,4,947.07,49,48.5,55,50,55,48.5,46.48,52.23,48.49,57.41,7,11,3,3,13,10
2,HDFC Bank,1409590.74,13.56,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,7,6.65,6.64,6.63,1.22,1.6,1.22,183894.2,154138.55,77779.94,58584.33,59247.58,62137.42,187257,1.6,1.66,,,HDFCBANK,500180,INE040A01034,1.24,1.42,1.26,1.24,0,,,19.55,,0.16,5.83,13.56,14.03,15.89,15.38,15.17,15.45,7,6.63,1.61,1.58,1.81,1.79,1.76,1.72,7.09,1.6,-18.17,15.03,95.97,,0.03,0,,681.88,0,0,0,0,0,0,45.22,48.42,12.88,12.78,21.23,24.62,23.11,49.84,57.88,68.77,82.64,90.42,92.81,92.81,100.95,90.22,11.89,40.54,93.72,7.09,-44.27,0.78,71.83,52.11,11.78,,4.16,,13.68,1.51,11.08,4.05,25870.46,31571.93,30581.81,30940.72,36163.46,29378.75,27930.16,68798.64,61636.44,51894.79,110416.66,101586.88,75352.47,35.12,35.57,32.84,19806.63,19610.67,16257.91,18834.88,17656.61,17825.91,16474.85,17622.38,17257.87,20691.04,70792.25,64062.04,45997.11,38052.75,31833.21,27253.95,9.49,112609.84,127064.74,26961.1,26658.89,23972.87,96242.05,76568.6,220837.82,2.28,23.45,24.9,20.76,22.54,22.75,15.7,21.4,69181.01,69579.75,70792.25,32.84,35.57,35.12,2.28,-18.17,24.9,36.49,2.67,72782.52,73399.75,68558.34,72559.6,70887.15,104678.96,114221.89,287300.21,24.26,2.67,2.67,,,,28210,,1.35,2.7,6,605.68,43.17,41.67,70,60,60,42.17,41.91,47.1,44.12,47.85,16,6,1,11,15,11
3,Bharti Airtel,1151161.17,25.58,23.13,14.76,6.51,9.73,0.15,,59.72,1279769.44,1516466.09,60.33,29.61,0.28,9.56,24.86,16.01,7.31,14.72,12.95,11.19,13.13,0.8,1.3,1.13,21753.9,22647.7,19299.9,16616.2,15091,13991.8,21504.3,4.35,3.52,2.22,4436.55,BHARTIARTL,532454,INE397D01024,0,0,0,0,0,172985.2,172985.2,,33778.3,-1.55,25.17,25.58,7.39,9.19,6.39,-25.58,-41.71,14.72,13.13,6.52,1.67,1.86,1.17,-4.35,-8.92,214.2,4.35,,19.22,58.24,2.22,0.19,0.18,0.37,226.16,48.87,-1.4,-4.24,-5.7,0,0,21.15,66.45,11.72,10.26,19.02,25.54,6.21,-63.41,-27.65,7.63,14.57,13.09,58,56.04,136.8,78.89,73.41,96.22,2157.81,214.2,88.73,14.23,69.72,-6.65,11.58,,5.8,5.8,6.79,3.6,11.71,5.92,19364.8,19814.8,29561.4,27838.7,27008.8,24596.6,21846.2,57533.9,45371.7,36482.3,93159.2,78291.8,71273.5,56.69,56.28,52.68,6791.7,5947.9,11021.8,14781.2,3593.2,4159.9,2071.6,2442.2,1340.7,8569.8,33556.1,7467,8345.9,4254.9,-15083.5,-32183.2,35.32,80733.4,109005.5,12241.3,10421.6,4823.5,34695.5,9969.6,,4.01,53.37,51.71,8.66,12.03,13.02,4.93,19.8,10014.4,12266.9,24605.9,52.68,56.28,56.69,4.01,,51.71,56.01,0.14,30289.1,28347.5,27354.5,32611.9,21247.2,79727.2,94732.9,118603,54.27,42.56,42.56,54.76,28.42,12.41,16621.8,30179.14,2.76,8.93,7,551.04,47.17,47.67,80,80,80,47.67,47.92,53.85,48.46,67.39,23,5,1,6,17,6
4,TCS,1144220.17,51.24,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,62.01,61.05,56.65,63.51,0,0,0,796,778,779,784,637,924,1189,89.66,88.33,62.3,239.8,TCS,532540,INE467B01029,0,0,0,0,0,255324,255324,,48797,3.7,3.46,51.24,50.73,46.61,42.99,37.52,38.44,62.01,63.51,30.41,31.34,29.33,27.08,24.8,26.74,-2.15,89.66,,18.73,134.8,62.3,0.31,0.3,2.32,261.76,71.77,0,0,-0.64,0,0,134.78,131.88,29.45,33.37,35.27,33.79,34.21,86.19,86.71,103.62,115.19,125.88,134.19,134.19,149.28,141.12,5.78,26.9,55.6,-2.15,-13.91,-11.75,117.63,95.94,37.29,39.32,5.11,5.11,5.05,3.39,23.4,4.39,16662,17164,18269,17978,16875,16980,17034,53057,46546,42109,67407,64296,59259,27.23,27.32,26.63,10657,12075,12760,12224,12380,11909,12040,12434,11058,10720,48553,45908,42147,38327,32430,32340,7.25,67591,70102,14078,16068,16666,65331,61997,,0.6,26,26.21,19.35,18.35,15.89,18.71,18.3,47441,48763,48553,26.63,27.32,27.23,0.6,,26.21,26.88,-11.17,15996,17710,18535,18008,18277,68718,71369,70249,27.53,-12.48,-12.48,27.95,25.89,18.08,17327.72,18677.51,14.27,12.08,7,933.96,34.83,36.67,65,70,65,34.67,40.36,45.35,49.92,53.95,11,5,4,6,13,10
5,ICICI Bank,960862.79,16.45,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,6.72,6.19,5.88,6.28,0.71,0.82,0.71,89027.65,74108.16,50543.39,41166.67,42659.09,44665.52,90029.09,1.87,1.87,,,ICICIBANK,532174,INE090A01021,1.53,1.96,2.3,1.58,-0.05,,,16.55,,0.19,7.46,16.45,17.49,16.1,14.04,11.9,7.98,6.72,6.28,1.93,1.87,1.73,1.43,1.16,0.69,5.37,1.87,-28.89,17.32,76.4,,0.05,0.07,,440.69,0,0,0,0,0,0,70.26,74.04,17.54,18.71,19.02,19.11,18.26,14.81,27.26,36.21,48.86,63.19,72.41,72.41,80.09,66.84,19.83,105.28,318.24,5.37,-3.94,-6.25,39.01,19.15,18.29,,5.15,,14.49,1.58,7.82,4.95,18077.28,16851.55,20400.58,19973.89,21316.81,20052.81,19750.88,43217.92,42261.44,33602.68,77759.3,64146.77,53196.39,42.18,41.46,41.99,12537.98,13357.06,13557.6,13502.22,12883.37,12947.77,11695.84,12728.58,11052.6,13411.33,51029.2,44256.37,34036.64,25110.1,18384.32,9566.31,3.29,74558.05,81744.09,17754.06,19064.58,18483.02,72853.54,60434.36,140854.98,0.19,26.4,27.18,27.39,27.72,25.92,18.75,27.29,48424.79,50255.56,51029.2,41.99,41.46,42.18,0.19,-28.89,27.18,42.13,3.38,39628.38,41081.97,42584.54,42160,41116.43,66081.98,80386.62,165454.89,27.29,-3.62,-3.62,,,,18460,,1.27,3.1,7,852.27,43.33,45.33,70,70,70,43.83,33.55,37.7,53.64,36,12,12,2,10,17,9
6,SBI,950292.08,16.87,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,6.51,5.91,5.57,5.94,1.33,1.65,1.33,300943.34,259736.05,189980.82,156194.34,156010.17,161123.8,311892.62,1.42,1.38,,,SBIN,500112,INE062A01020,1.73,2.13,2.55,1.83,-0.1,,,14.25,,0.15,7.62,16.87,17.31,16.8,12.53,8.89,8.69,6.51,5.94,1.06,0.99,0.93,0.65,0.46,0.47,12.91,1.42,-19.02,11.69,88.54,,0.01,0,,545.72,55.5,0,-1.93,-1.99,0,0,77.52,87.53,22.81,23.76,21.96,21.12,22.17,22.15,25.11,39.64,62.35,75.17,86.91,86.91,93.01,80.66,15.31,107.28,280.1,12.91,2.89,-4,44.87,24.47,18.98,,1.4,,13.26,1.04,19.6,1.88,31243.39,23790.08,32116.97,34492.66,34366.34,27564.59,33060.15,76415.32,78898.13,75105.29,125826.46,98945.02,93582.84,25.08,27.43,27.31,21137.33,21201.47,19600.46,18853.16,19782.76,19324.96,21384.15,11064.14,17196.2,21504.49,77561.34,67084.67,55648.17,35373.88,22405.46,19767.8,-2.85,118929.01,128540.56,28656.64,29229.12,27474.31,106375.46,91230.23,149580.52,-2.23,18.97,16.64,16.34,16.86,16.51,11.28,15.99,68969.45,71556.01,79345.03,27.31,27.43,25.08,-2.23,-19.02,16.64,25.43,0.91,106659.01,107495.58,105123.87,102963.14,101093.07,102794.14,129817.94,422241.6,19.57,5.51,5.51,,,,27914.73,,1.06,2.07,6,990.35,48.67,50.5,70,65,65,48.5,67.37,75.71,66.1,58.78,30,3,2,6,14,12
7,Infosys,677455.07,27.87,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,35.85,37.15,35.83,36.81,0,0,0,416,470,284,200,195,170,413,102.97,87.52,65.3,100.6,INFY,500209,INE009A01021,0,0,0,0,0,162990,162990,,26750,3.07,8.24,27.87,29.77,31.95,29.34,25.34,25.35,35.85,36.81,17.93,19.03,19.15,18.75,17.85,17.88,1.17,102.97,,16.04,64.52,65.3,0.24,0.18,2.27,231.11,14.52,0.22,0.09,-0.26,0,0,68.19,68.99,16.17,17.76,16.7,16.98,16.43,38.91,45.52,52.52,57.63,63.39,64.5,64.34,76.13,74.66,1.96,24.67,65.41,1.17,-1.58,-8.95,61.06,46.02,18.18,21.72,3.99,3.99,3.85,2.65,18.98,3.91,9437,8784,10634,10535,9943,9874,10115,31491,27889,22267,39236,36425,35130,23.38,23.68,24.22,6654,7364,6921,7033,6806,6506,6368,7969,6106,6666,26713,26233,24095,22110,19351,16594,5.13,38145,40986,9229,10229,9670,37608,35988,,-0.84,23.55,23,16.3,16.55,14.63,16.56,16.15,26949,27649,26713,24.22,23.68,23.38,-0.84,,23,23.67,20.73,10484,11517,10985,11064,10974,41136,42836,44050,25.71,-4.47,-4.47,26.28,23.32,14.64,9710.91,10902.34,10.32,7.07,5,629.32,36.67,38.33,65,55,60,36.67,66.5,74.73,57.77,62.66,20,7,2,6,16,7
8,Bajaj Finance,577352.98,17.2,14.64,34.75,7.08,4.09,1.43,27.24,38.76,1941484.5,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,46.79,48.88,46.14,48.92,0,0,3.74,24770.79,18724.69,12559.89,9748.24,9414,9473.21,26866.57,1.93,2.07,1.68,,BAJFINANCE,500034,INE296A01032,0,0,0,0,0,68264.59,68264.59,,16761.67,0.74,22.35,17.2,18.84,21.16,16.07,11.97,16.28,46.79,48.92,3.56,3.84,4.18,3.3,2.57,3.2,19.03,1.93,,23.86,269.98,1.68,-0.15,-0.19,1.26,1557.43,54.7,0.04,0,-0.08,0,0,24.71,29.41,7.85,7.57,72.35,68.63,64.66,89.07,73,115.79,189.57,235.98,268.94,268.94,284.17,244.77,16.1,131.27,206.72,19.03,-87.86,3.7,122.87,92.65,10.54,,7.97,7.97,12.99,2.8,-8.47,7.58,10506.35,9932.75,13872.31,13532.15,12430.66,12343.95,11752.25,19628.6,15716.58,17078.09,47672.33,38696.92,28563.15,68.75,69.31,68.77,4875.36,4699.61,4479.57,4246.54,3999.73,3911.98,3824.53,3638.95,3550.8,4944.46,16637.82,14451.17,11507.69,7028.23,4419.82,5263.75,18.04,43334.21,52179.07,6604.83,6366.84,5398.03,22061.82,19301.93,,-0.02,68.37,70.38,23.4,24.07,24.16,26.28,24.02,14926.26,15375.19,15982.78,68.77,69.31,68.75,-0.02,,70.38,68.48,1.66,13874.17,13536.01,12442.55,12367.16,11757.39,38709.94,47713.6,52219.89,68.43,18,18,68.47,67.2,18.98,9351.21,9582.4,1.76,5.97,3,331.51,28.17,27.83,40,30,30,28,43.44,48.81,45.36,56.22,15,14,2,4,13,10
9,Hindustan Unilever,566134.02,21.55,28.54,32.69,16.29,15.06,9.51,53.15,54.42,1066568.42,1675961.3,52.34,56.91,8.66,21.78,36.12,36.7,17.38,22.91,22.26,21.21,21.72,0,0,0,395,334,114,106,117,118,448,40.17,46.33,27.26,,HINDUNILVR,500696,INE030A01027,0,0,0,0,0,62288,62288,,10679,11.63,2.94,21.55,20.06,20.11,18.09,16.77,82,22.91,21.72,13.33,13.09,13.84,12.59,11.62,33.48,6.05,40.17,,16.6,45.44,27.26,0.15,0.2,1.33,210.22,61.9,0,0,0,0,0,43.7,46.34,11.43,11.73,10.48,12.7,11.03,31.17,34.03,37.79,43.07,43.74,45.32,45.32,51.21,48.94,4.63,20.55,42.58,6.05,3.63,-2.56,42.48,35.92,11.08,,8.41,8.41,8.3,5.18,47.63,8.81,3535,3666,3729,3718,3619,3695,3793,12857,11626,9861,14851,14663,14149,22.96,22.51,23.82,2685,2756,2464,2984,2591,2610,2558,2509,2656,2697,10649,10277,10120,8879,7995,6748,-1.69,14738,14761,3573,3304,3548,14423,13930,,-0.86,23.15,23.38,16.27,16.69,16.53,16.39,16.95,10333,10268,10743,23.82,22.51,22.96,-0.86,,23.38,22.98,8.6,4060,3792,3790,4434,3996,15474,15868,16076,24.74,1.6,1.6,25.13,22.99,33,3321.83,3686.37,12.71,11.46,6,464.93,27.33,27.83,70,70,70,27.17,52.62,59.13,51.85,50.45,16,3,1,2,16,7
10,L&T,526613.05,15.39,13.21,15.06,4.5,4.92,1.54,29.72,50.04,912980.72,1996937.74,49.44,35.28,1.84,4.09,10.7,11.6,4.35,14.89,13.86,12.35,14.7,0.59,0.65,1.33,3334.37,3545.85,3207.16,3125.7,3913.44,2796.66,3133.06,9.16,7.8,6.16,831.4,LT,500510,INE018A01030,0,0,0,0,0,254208.65,254208.65,,17687.39,5.99,13.33,15.39,15.12,11.72,10.52,15.26,14.31,14.89,14.7,3.96,3.84,3.16,2.7,3.72,3.09,21.26,9.16,,5.79,128.62,6.16,0.02,0.05,1.21,710.12,0,0,0,0,0,0,96.15,116.59,28.54,26.3,39.98,24.43,24.69,67.95,82.41,61.65,74.45,93.96,109.36,109.28,158.58,140.05,13.23,68.31,67.59,21.26,15.59,8.52,94.22,94.63,32.67,,1.88,1.88,2.36,2.69,57.49,1.95,7233.99,5759,6806.41,6317.66,8202.54,6254.87,6362.04,18217.3,15624.1,16328.98,26434.74,23493.65,20753.28,10.01,9.92,10.34,3926.09,3617.19,5497.26,3358.84,3395.29,2785.72,4396.12,2947.36,3222.63,4687.09,15037.11,13059.11,10470.72,8669.33,11582.93,9549.03,6.98,24970.32,27581.48,6336.11,5859.53,5555.09,23578.79,20517.11,,-0.32,10.17,10.43,5.52,5.68,5.78,5.8,6.06,13351.83,13524.49,13935.97,10.34,9.92,10.01,-0.32,,10.43,10.19,1.51,8190.69,7674.44,9812.37,7222.74,7463.31,27651.68,30559.56,32900.24,11.76,9.75,9.75,11.94,10.33,19.78,6417.85,7532.6,2.3,5.39,5,1390.51,37.17,37,70,70,70,37.17,49.78,55.94,51.44,59.55,16,7,2,5,16,7
