Sl No,Stock,LTP,Market Cap,Latest Financial Result,PE TTM,PBV Adjusted,Revenue QoQ Growth %,Net Profit QoQ Growth %,NSE Code,BSE Code,ISIN
1,Tata Motors PV,344.45,126837.91,30-09-2025,1.35,1.15,-30.7,1841.13,TMPV,500570,INE155A01022
2,Adani Enterprises,1864.2,228072.12,30-09-2025,29.11,3.43,-3.25,335.55,ADANIENT,512599,INE423A01024
3,InterGlobe Aviation,4704.5,181871.78,31-12-2025,56.62,21.06,26.5,121.3,INDIGO,539448,INE646L01027
4,Max Healthcare,991.4,96463.37,30-09-2025,71.08,9.6,5.32,59.53,MAXHEALTH,543220,INE027H01010
5,Eternal,258.7,249654.57,31-12-2025,1080.75,8.09,20.05,56.92,ETERNAL,543320,INE758T01015
6,Tata Steel,187.61,234203.53,30-09-2025,34.41,2.47,10.36,49.29,TATASTEEL,500470,INE081A01020
7,UltraTech Cement,12369,364488.7,31-12-2025,47.6,5.06,11.34,40.1,ULTRACEMCO,532538,INE481G01011
8,Sun Pharmaceutical,1631.9,391547.48,30-09-2025,37.47,5.03,4.53,36.83,SUNPHARMA,524715,INE044A01036
9,Bharat Electronics,410.7,300212.62,30-09-2025,52.71,13.92,30.46,32.77,BEL,500049,INE263A01024
10,JSW Steel,1170,286118.12,31-12-2025,38.41,3.45,1.86,31.79,JSWSTEEL,500228,INE019A01038
11,Tata Consumer ,1153.5,114144.73,30-09-2025,83.79,5.62,3.91,21.04,TATACONSUM,500800,INE192A01025
12,Hindalco Industries,950.3,213553.93,30-09-2025,12.02,1.58,2.84,18.41,HINDALCO,500440,INE038A01020
13,Nestle,1293.8,249485.3,30-09-2025,84.54,56.26,10.74,14.94,NESTLEIND,500790,INE239A01024
14,Bharti Airtel,1984.7,1151161.17,30-09-2025,29.87,9.77,5.42,14.19,BHARTIARTL,532454,INE397D01024
15,Eicher Motors,6973,191265.49,30-09-2025,37.45,8.66,22.41,13.63,EICHERMOT,505200,INE066A01021
16,Apollo Hospitals,6803,97816.73,30-09-2025,58.51,10.76,7.9,10.26,APOLLOHOSP,508869,INE437A01024
17,Kotak Mahindra Bank,422.8,420530.56,31-12-2025,22.37,2.5,1.79,10.21,KOTAKBANK,500247,INE237A01036
18,ONGC,245.47,308808.11,30-09-2025,8.45,0.84,-3.19,10,ONGC,500312,INE213A01029
19,Shriram Finance,1003.55,188816.77,31-12-2025,20.64,3.12,2.17,9.31,SHRIRAMFIN,511218,INE721A01047
20,L&T,3743.8,526613.05,30-09-2025,32.11,5.19,6.76,8.54,LT,500510,INE018A01030
21,Bajaj Finance,927.85,577352.98,30-09-2025,31.55,5.59,3.35,3.74,BAJFINANCE,500034,INE296A01032
22,Titan Company,4021.8,357049.85,30-09-2025,86.47,27.89,13.33,2.66,TITAN,500114,INE280A01028
23,Reliance Industries,1386.1,1875736.03,31-12-2025,22.54,2.14,4.04,2.64,RELIANCE,500325,INE002A01018
24,HDFC Bank,916.1,1409590.74,31-12-2025,18.92,2.72,0.08,1,HDFCBANK,500180,INE040A01034
25,SBI,1029.5,950292.08,30-09-2025,11.76,2.07,1.84,-0.3,SBIN,500112,INE062A01020
26,Power Grid Corp,254.15,236374.85,30-09-2025,15.55,2.39,2.5,-1.78,POWERGRID,532898,INE752E01010
27,ITC,323.4,405195.28,30-09-2025,11.57,5.7,-9.27,-2.25,ITC,500875,INE154A01025
28,Hindustan Unilever,2409.5,566134.02,30-09-2025,51.99,11.62,-1.65,-2.58,HINDUNILVR,500696,INE030A01027
29,HCL Technologies,1707,463222.63,31-12-2025,28.14,6.5,6.04,-3.75,HCLTECH,532281,INE860A01027
30,Wipro,238.4,250014.81,31-12-2025,18.85,2.92,3.78,-3.92,WIPRO,507685,INE075A01022
31,Bajaj Auto,9413.5,263105.25,30-09-2025,31.59,7.7,19.81,-4,BAJAJ-AUTO,532977,INE917I01010
32,Tech Mahindra,1701.1,166664.08,31-12-2025,36.04,6.05,2.85,-6.07,TECHM,532755,INE669C01036
33,ICICI Bank,1343.4,960862.79,31-12-2025,18.14,3.08,0.38,-6.13,ICICIBANK,532174,INE090A01021
34,Adani Ports,1308.4,282632.57,30-09-2025,23.64,4.21,0.45,-6.2,ADANIPORTS,532921,INE742F01042
35,HDFC Life Insurance ,712.1,153643.82,31-12-2025,81.28,9.51,42.5,-6.71,HDFCLIFE,540777,INE795G01014
36,Infosys,1670.8,677455.07,31-12-2025,24.22,6.56,2.22,-9.64,INFY,500209,INE009A01021
37,Asian Paints,2703.7,259338.31,30-09-2025,66.57,13.25,-4.56,-9.65,ASIANPAINT,500820,INE021A01026
38,Mahindra & Mahindra,3543.4,440631.99,30-09-2025,30.96,5.31,1.27,-10.04,M&M,500520,INE101A01026
39,Dr. Reddy's Labs,1235.6,103126.93,31-12-2025,18.52,2.86,-0.85,-10.18,DRREDDY,500124,INE089A01031
40,Axis Bank,1258,390655.26,30-09-2025,15.03,2.1,-0.12,-11.47,AXISBANK,532215,INE238A01034
41,Maruti Suzuki,15469,486349.38,30-09-2025,32.91,4.88,9.69,-11.69,MARUTI,532500,INE585B01010
42,TCS,3162.5,1144220.17,31-12-2025,23.98,10.75,1.96,-11.74,TCS,532540,INE467B01029
43,Trent,3755.9,133517.55,30-09-2025,82.32,21.88,-1.35,-12.29,TRENT,500251,INE849A01020
44,NTPC,336.7,326486.75,30-09-2025,13.75,1.7,-4.84,-15.7,NTPC,532555,INE733E01010
45,SBI Life Insurance ,2002.6,200826.7,30-09-2025,81.86,12.35,-40.72,-16.79,SBILIFE,540719,INE123W01016
46,Bajaj Finserv,1949,311413.79,30-09-2025,32.17,4.07,5.54,-19.54,BAJAJFINSV,532978,INE918I01026
47,Cipla,1315,106221.99,31-12-2025,23.36,3.23,-6.79,-49.98,CIPLA,500087,INE059A01026
48,Coal India,418.4,257848.55,30-09-2025,8.26,2.45,-15.78,-50.2,COALINDIA,533278,INE522F01014
49,Grasim Industries,2759,187755.8,30-09-2025,42.99,1.88,-0.54,-60.99,GRASIM,500300,INE047A01021
50,Jio Financial ,252.9,160670.95,31-12-2025,100.12,1.19,-8.2,-61.3,JIOFIN,543940,INE758E01017
