"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Aegis Vopak Terminals","10","3","19","4","6","70","25","3.98","52.91","57.67","","77.91","483.92","525.23","","5.15","8.89","4.9","","1.69","1.18","","","11751.12","13.04","73.46","26.98","0.75","7.1","-5.59","33.36","","36.44","117.78","6.52","","1.63","","0","0","86.93","2.76","","2.51","","1.29","6.14","14.28","14.11","6.62","30.44","16.62","AEGISVOPAK","544407","INE0INX01018"
"2","Sagility","4","0","31","6","9","85","46.5","6.63","44.28","48.26","15.2","24.31","1354.19","1648.63","340.46","2.75","6.02","5.08","0.17","8.93","0.7","","","11641.92","68.84","24.55","12.85","53.7","37.53","27.89","17.15","3.61","3.93","112","65.62","175.05","1.71","","-16.43","0","50.95","1.67","","10.65","","0.1","8.9","13.06","19.86","6.46","14.69","15.67","SAGILITY","544282","INE0W2G01015"
"3","Krishna Institute","16","1","11","3","4","45","27.17","5.14","44.15","42.95","33.97","26.84","814.8","825.9","112.31","10.84","8.43","8.55","51.82","4.59","5.51","","222.61","15.57","-14.89","22.98","9.88","16.82","90.18","23.21","111.56","8.43","7.23","-37.69","-14.8","1.41","8.4","","0","3.66","34.11","0.83","","9.02","33.1","0.89","13.01","15.63","13.9","17.98","22.02","23.28","KIMS","543308","INE967H01025"
"4","Force Motors","5","0","28","5","9","90","46.17","10.35","48.77","47.31","9.95","14.23","1149.28","1732.88","","7.06","7.12","5.33","0.18","2.94","3.33","","1496.05","979.16","98.87","14.56","12.49","235.34","0.52","537.53","-1.45","1.48","2.87","159.75","98.88","126.08","817.39","","0","0","61.63","1.5","","44.43","","0.01","25.49","20.66","20.7","26.39","18.57","19.6","","500033","INE451A01017"
"5","Manappuram Finance","7","1","14","6","4","45","30","1.17","50.26","38.95","9.37","54.7","5473.93","4385.98","669.68","1.96","6.46","4.06","-0.69","2.32","1.41","","-17.14","-8.45","58.9","46.22","4.75","2.56","11.8","-1.86","1.44","1.97","2.64","-61.93","63.69","-80.12","5.31","","0","0","35.25","1.3","","1.55","","2.85","41.31","17.81","34.62","9.78","17.34","14.63","MANAPPURAM","531213","INE522D01027"
"6","Star Health ","9","3","10","7","4","45","39.33","1.39","50.26","44.63","20.78","6.19","997.95","715.79","161.9","3.63","6.46","4.36","-1.23","2.32","2.16","","145.29","162.06","-79.09","4.18","3.17","2.56","11.8","-7.23","13.22","1.3","1.48","-51.05","-79.19","-38.17","9.07","","-0.04","0","57.98","0.18","","15.25","","0.07","12.21","17.81","14.38","9.14","17.34","12.31","STARHEALTH","543412","INE575P01011"
"7","Asahi Glass","12","0","19","6","4","45","28.5","4.85","48.77","50.85","21.27","17.37","798.12","829.51","","6.83","7.12","5.9","-1150.18","2.94","4.12","","141.52","7.68","0.68","16.07","6.63","235.34","0.52","14.61","2.2","3.19","5.4","-43.51","-3.9","-0.07","12.18","","0","3.21","51.57","1.08","","6.22","","0.95","12.32","20.66","18.62","13.91","18.57","14.6","ASAHIINDIA","515030","INE439A01020"
"8","The Ramco Cements","6","0","10","6","5","55","38.67","2.44","50.4","50.95","20.15","14.95","1273.71","1619.02","142.6","3.35","4.14","3.63","1.96","1.42","1.37","","-54.87","-69.07","-9.04","15.92","4.28","86.08","78.14","42.98","3.86","2.49","2.91","191.96","-9.17","34.66","15.75","","0","3.42","42.56","0.52","","2.78","110.4","0.63","4.81","11.57","8.19","3.66","10.66","7.47","RAMCOCEM","500260","INE331A01037"
"9","Gillette","11","2","8","4","6","65","28.83","20.74","52.35","54.29","41.02","28.05","626.94","862.8","","22.11","21.92","14.96","1.66","8.37","9.15","","81.45","44.35","-1.4","27.82","19.32","3.45","15.9","-1.4","17.07","11.7","8.65","7.99","-1.41","26.98","176.15","","0","0","75","1.64","","73.67","","0","49.53","36.8","32.71","40.82","36.3","28.61","GILLETTE","507815","INE322A01010"
"10","PTC Industries","12","2","13","2","4","50","18.83","80.24","51.2","52.25","201.24","35.51","109.41","118.4","","18.37","12.04","18.14","11.02","3.49","4.12","","","376.28","251.82","19.12","15.13","23.52","10.25","-3.41","13.35","72.51","63.39","2.11","251.74","38.02","41.43","","-0.03","0","59.72","6.77","","12.3","","0.04","6.02","24.14","24.83","4.4","20.49","21.6","PTCIL","539006","INE596F01018"
